id,sezon,tarla_adi,alan_donum,konum,urun_adi,ekim_tarihi,hasat_tarihi,maliyet_tohum,maliyet_gubre,maliyet_ilac,maliyet_sulama,maliyet_iscilik,maliyet_makine,hasat_miktari_kg,satis_fiyati_kg
1,2024,Dere Tarlasi,45,Yalova Cinarcik,Bugday,2024-10-15,2025-06-20,8500,12000,3200,5400,9000,7800,18900,9.5
2,2024,Yamac Tarlasi,30,Yalova Termal,Misir,2024-04-10,2024-09-05,6200,15500,4100,11200,7500,6900,21000,7.2
3,2024,Golet Tarlasi,60,Yalova Merkez,Aycicegi,2024-04-20,2024-09-15,9800,18000,5600,8900,11000,10500,15600,18.0
4,2024,Tas Tarlasi,25,Yalova Cinarcik,Arpa,2024-10-25,2025-06-10,5400,7800,2100,3600,6200,5100,9500,7.8
5,2024,Cam Tarlasi,50,Yalova Armutlu,Pamuk,2024-05-05,2024-10-20,14000,26000,9200,19500,18000,14500,17800,22.5
6,2024,Dere Tarlasi,45,Yalova Cinarcik,Domates,2024-05-15,2024-08-25,11500,21000,7800,16400,24000,9800,72000,8.5
7,2024,Yamac Tarlasi,30,Yalova Termal,Bugday,2024-10-12,2025-06-18,5800,8200,2400,3900,6400,5600,2400,9.5
8,2024,Golet Tarlasi,60,Yalova Merkez,Misir,2024-04-15,2024-09-10,12000,29000,8100,21000,14500,13200,39000,7.2
9,2025,Dere Tarlasi,45,Yalova Cinarcik,Bugday,2025-10-14,2026-06-22,9100,13500,3600,6100,9800,8400,20200,11.0
10,2025,Yamac Tarlasi,30,Yalova Termal,Misir,2025-04-08,2025-09-08,6800,17200,4500,12600,8200,7400,22500,8.4
11,2025,Golet Tarlasi,60,Yalova Merkez,Aycicegi,2025-04-22,2025-09-18,10600,20400,6200,9800,12300,11600,16800,21.0
12,2025,Tas Tarlasi,25,Yalova Cinarcik,Arpa,2025-10-20,2026-06-12,5900,8600,2300,4000,6700,5400,1100,9.0
13,2025,Cam Tarlasi,50,Yalova Armutlu,Pamuk,2025-05-03,2025-10-22,15500,28800,10100,21500,19800,15800,18900,25.0
14,2025,Dere Tarlasi,45,Yalova Cinarcik,Domates,2025-05-12,2025-08-28,12800,23500,8600,18200,26500,10700,31000,10.2
15,2025,Yamac Tarlasi,30,Yalova Termal,Bugday,2025-10-10,2026-06-20,6300,9000,2700,4300,7000,6100,11800,11.0
16,2025,Golet Tarlasi,60,Yalova Merkez,Misir,2025-04-18,2025-09-12,13200,31500,8900,22800,15600,14100,37500,8.4
